(UTC)HistoryTradesWsData;Tipo;Moeda;Valor;Saldo após;Status
23/12/2021 13:30;Taxa de transação;GALA;-0,081GALA(≈R$0.22);17,919;Sucesso
23/12/2021 13:30;Compra(GALA/BRL);GALA;+18,00GALA(≈R$49.06);18;Sucesso
23/12/2021 13:30;Compra(GALA/BRL);BRL;-R$ 49,08;1,89;Sucesso
23/12/2021 13:30;Taxa de transação;SOL;-0,000108SOL(≈R$0.11);0,2416695;Sucesso
23/12/2021 13:30;Compra(SOL/BRL);SOL;+0,024SOL(≈R$24.55);0,2417775;Sucesso
23/12/2021 13:30;Compra(SOL/BRL);BRL;-R$ 24,64;50,97;Sucesso
23/12/2021 13:30;Depósito em Reais;BRL;R$ 61,00;75,61;Sucesso
04/12/2021 20:54;Compra(BTC/BRL);BRL;-R$ 25,00;14,61;Sucesso
04/12/2021 20:54;Compra(BTC/BRL);BTC;+0,00008739BTC(≈R$25);0,0009735;Sucesso
04/12/2021 12:00;Taxa de transação;ADA;-0,014482ADA(≈R$0.11);31,498245;Sucesso
04/12/2021 12:00;Compra(ADA/BRL);ADA;+3,2182ADA(≈R$24.91);31,512727;Sucesso
04/12/2021 12:00;Compra(ADA/BRL);BRL;-R$ 25,00;39,61;Sucesso
04/12/2021 11:59;Compra(BTC/BRL);BRL;-R$ 25,00;64,61;Sucesso
04/12/2021 11:59;Compra(BTC/BRL);BTC;+0,00009239BTC(≈R$25);0,00088611;Sucesso
30/11/2021 12:30;Taxa de transação;ADA;-0,012391ADA(≈R$0.11);28,294527;Sucesso
30/11/2021 12:30;Compra(ADA/BRL);ADA;+2,7534ADA(≈R$24.94);28,306918;Sucesso
30/11/2021 12:30;Compra(ADA/BRL);BRL;-R$ 25,00;89,61;Sucesso
30/11/2021 12:30;Taxa de transação;SOL;-0,0000945SOL(≈R$0.11);0,2177775;Sucesso
30/11/2021 12:30;Compra(SOL/BRL);SOL;+0,021SOL(≈R$24.76);0,217872;Sucesso
30/11/2021 12:30;Compra(SOL/BRL);BRL;-R$ 24,77;114,61;Sucesso
30/11/2021 12:29;Compra(BTC/BRL);BTC;+0,00007617BTC(≈R$24.98);0,00079372;Sucesso
30/11/2021 12:29;Compra(BTC/BRL);BRL;-R$ 25,00;139,38;Sucesso
30/11/2021 12:29;Taxa de transação;ETH;-0,00000432ETH(≈R$0.11);0,01094687;Sucesso
30/11/2021 12:29;Compra(ETH/BRL);ETH;+0,00095791ETH(≈R$25);0,01095119;Sucesso
30/11/2021 12:29;Compra(ETH/BRL);BRL;-R$ 25,00;164,38;Sucesso
29/11/2021 11:19;Taxa de transação;ADA;-0,012558ADA(≈R$0.11);25,553518;Sucesso
29/11/2021 11:19;Compra(ADA/BRL);ADA;+2,7905ADA(≈R$25);25,566076;Sucesso
